from,to,value
Imm.DAM.0,Neu.Epend.0,12
Imm.DAM.1,Neu.Epend.0,19
Imm.PVM.0,Neu.Epend.0,3
MeV.Endothelial.0,Imm.M0Like.1,6
MeV.Endothelial.0,Neu.Epend.0,3
MeV.Endothelial.1,Neu.Epend.0,5
MeV.Endothelial.2,Imm.M0Like.1,4
MeV.Endothelial.2,Neu.Epend.0,14
MeV.Fib.4,Neu.Epend.0,11
MeV.Fib.5,Neu.Epend.0,11
MeV.FibCollagen.1,Neu.Epend.0,25
MeV.FibCollagen.3,Neu.Epend.0,31
MeV.Pericytes.0,Neu.Epend.0,6
Neu.CSFcN.0,Neu.Epend.0,14
MeV.Endothelial.0,Imm.DAM.0,4
MeV.Endothelial.0,Imm.DAM.1,10
MeV.Endothelial.0,MeV.FibCollagen.1,13
MeV.Endothelial.1,Imm.DAM.0,1
MeV.Endothelial.1,Imm.M0Like.1,1
MeV.Endothelial.1,MeV.FibCollagen.1,7
MeV.Endothelial.2,Imm.DAM.0,4
MeV.Endothelial.2,Imm.DAM.1,8
MeV.Endothelial.2,MeV.FibCollagen.1,14
MeV.Fib.5,Imm.DAM.0,3
MeV.Fib.5,Imm.DAM.1,8
MeV.Fib.5,Imm.M0Like.1,4
MeV.Fib.5,MeV.FibCollagen.1,19
MeV.FibCollagen.3,Imm.DAM.0,4
MeV.FibCollagen.3,Imm.M0Like.1,11
MeV.FibCollagen.2,Imm.DAM.0,6
MeV.FibCollagen.2,Imm.DAM.1,10
MeV.FibCollagen.2,Imm.M0Like.1,6
MeV.FibCollagen.2,MeV.FibCollagen.1,23
Imm.DAM.0,Imm.DAM.1,3
Imm.DAM.1,Imm.DAM.1,10
Imm.Interferon.0,Imm.DAM.1,8
Imm.M0Like.1,Imm.DAM.1,11
Imm.PVM.0,Imm.DAM.1,4
MeV.Endothelial.1,Imm.PVM.0,2
MeV.Endothelial.1,MeV.Endothelial.1,1
MeV.Endothelial.1,Neu.CSFcN.0,5
MeV.Fib.4,MeV.Endothelial.1,6
MeV.Fib.5,Imm.PVM.0,4
MeV.Fib.5,MeV.Endothelial.1,8
MeV.FibCollagen.1,MeV.Endothelial.0,10
MeV.FibCollagen.3,MeV.Endothelial.1,4
Imm.DAM.0,Imm.PVM.0,3
Imm.DAM.0,MeV.Endothelial.0,3
Imm.DAM.0,MeV.Endothelial.1,2
Imm.DAM.1,Imm.PVM.0,9
Imm.DAM.1,MeV.Endothelial.0,5
Imm.DAM.1,MeV.Endothelial.1,3
Imm.Interferon.0,Imm.PVM.0,4
Imm.Interferon.0,MeV.Endothelial.0,4
Imm.Interferon.0,MeV.Endothelial.1,9
Imm.M0Like.1,Imm.M0Like.1,7
Imm.M0Like.1,Imm.PVM.0,7
Imm.M0Like.1,MeV.Endothelial.0,2
Imm.M0Like.1,MeV.Endothelial.1,2
MeV.FibCollagen.1,Imm.PVM.0,8
MeV.FibCollagen.1,MeV.Endothelial.1,6
MeV.FibCollagen.3,Imm.DAM.1,15
MeV.FibCollagen.3,MeV.FibCollagen.3,22
Neu.Epend.0,Imm.M0Like.1,7
Neu.Epend.0,Imm.PVM.0,8
Neu.Epend.0,MeV.Endothelial.0,4
Neu.Epend.0,MeV.Endothelial.1,7
Neu.Epend.0,Neu.CSFcN.0,7
MeV.Fib.5,Imm.Interferon.0,4
MeV.Fib.5,MeV.Fib.4,10
MeV.FibCollagen.3,Imm.Interferon.0,12
MeV.FibCollagen.3,MeV.Fib.4,19
MeV.Fib.4,Imm.DAM.1,5
MeV.Fib.4,Imm.M0Like.1,4
MeV.Fib.4,MeV.Endothelial.2,11
MeV.Fib.4,MeV.Pericytes.0,15
MeV.Fib.4,Neu.CSFcN.0,18
MeV.FibCollagen.2,MeV.Endothelial.0,6
MeV.FibCollagen.2,MeV.Endothelial.2,11
MeV.FibCollagen.3,MeV.Endothelial.0,13
MeV.FibCollagen.3,MeV.Endothelial.2,15
MeV.Pericytes.0,MeV.Endothelial.0,3
MeV.Pericytes.0,MeV.Endothelial.2,9
Imm.DAM.1,MeV.Fib.4,7
Imm.DAM.1,MeV.FibCollagen.1,12
Imm.DAM.1,MeV.FibCollagen.2,7
Imm.DAM.1,MeV.FibCollagen.3,8
Imm.Interferon.0,MeV.Fib.4,7
Imm.Interferon.0,MeV.FibCollagen.1,9
Imm.Interferon.0,MeV.FibCollagen.2,7
Imm.Interferon.0,MeV.FibCollagen.3,5
Imm.M0Like.1,MeV.Fib.4,7
Imm.M0Like.1,MeV.FibCollagen.1,11
Imm.M0Like.1,MeV.FibCollagen.2,5
Imm.M0Like.1,MeV.FibCollagen.3,7
MeV.FibCollagen.3,MeV.FibCollagen.1,27
MeV.FibCollagen.3,MeV.FibCollagen.2,8
MeV.FibCollagen.1,MeV.Pericytes.0,24
MeV.FibCollagen.2,Neu.CSFcN.0,9
MeV.FibCollagen.2,Neu.Epend.0,8
MeV.Fib.5,MeV.Endothelial.0,7
MeV.Fib.5,MeV.Pericytes.0,7
MeV.FibCollagen.3,Imm.PVM.0,8
MeV.FibCollagen.3,MeV.Pericytes.0,19
MeV.Fib.5,MeV.FibCollagen.2,3
MeV.Fib.5,Neu.CSFcN.0,11
MeV.FibCollagen.3,Neu.CSFcN.0,22
MeV.Endothelial.2,Imm.PVM.0,5
MeV.Pericytes.0,Imm.PVM.0,9
Neu.CSFcN.0,Imm.DAM.1,16
Neu.CSFcN.0,Imm.Interferon.0,14
Neu.CSFcN.0,Imm.PVM.0,13
Neu.CSFcN.0,MeV.Endothelial.2,9
Neu.CSFcN.0,MeV.Fib.5,10
Neu.CSFcN.0,Neu.CSFcN.0,12
Neu.Epend.0,Imm.DAM.0,7
Neu.Epend.0,MeV.FibCollagen.1,15
Neu.CSFcN.0,Imm.DAM.0,16
Neu.CSFcN.0,MeV.FibCollagen.1,22
Neu.CSFcN.0,MeV.FibCollagen.3,34
MeV.Pericytes.0,MeV.Pericytes.0,10
Imm.DAM.1,MeV.Pericytes.0,8
Imm.DAM.1,Neu.CSFcN.0,26
Imm.Interferon.0,Neu.Epend.0,27
Imm.PVM.0,MeV.Pericytes.0,1
Imm.PVM.0,Neu.CSFcN.0,7
MeV.Endothelial.0,MeV.Fib.4,4
MeV.Endothelial.0,MeV.Fib.5,3
MeV.Endothelial.1,MeV.Fib.4,2
MeV.Endothelial.1,MeV.Fib.5,1
MeV.Endothelial.2,MeV.Fib.4,5
MeV.Endothelial.2,MeV.Fib.5,4
MeV.Fib.4,MeV.Endothelial.0,3
MeV.Fib.4,MeV.Fib.4,5
MeV.Fib.4,MeV.Fib.5,4
MeV.Fib.5,MeV.Endothelial.2,8
MeV.FibCollagen.1,Neu.CSFcN.0,25
MeV.Pericytes.0,Imm.DAM.1,7
MeV.Pericytes.0,MeV.Fib.5,3
MeV.Pericytes.0,MeV.FibCollagen.3,12
Neu.CSFcN.0,MeV.Fib.4,8
Neu.Epend.0,Imm.DAM.1,6
Neu.Epend.0,Imm.Interferon.0,8
Neu.Epend.0,MeV.Fib.5,3
Neu.Epend.0,MeV.FibCollagen.3,17
MeV.Endothelial.2,MeV.Endothelial.2,6
MeV.Endothelial.2,MeV.FibCollagen.3,4
Imm.DAM.0,Neu.CSFcN.0,11
Imm.PVM.0,Imm.M0Like.1,4
Imm.PVM.0,MeV.Endothelial.0,1
Imm.PVM.0,MeV.Endothelial.2,2
MeV.Endothelial.0,Imm.PVM.0,3
Neu.Epend.0,MeV.Endothelial.2,5
Imm.Interferon.0,Imm.Interferon.0,5
Imm.M0Like.1,Imm.Interferon.0,7
Imm.PVM.0,MeV.FibCollagen.2,2
MeV.Endothelial.0,Imm.Interferon.0,5
MeV.Endothelial.0,MeV.FibCollagen.2,3
MeV.Endothelial.1,MeV.FibCollagen.2,1
MeV.Endothelial.2,MeV.FibCollagen.2,4
Neu.CSFcN.0,MeV.FibCollagen.2,6
Neu.Epend.0,MeV.FibCollagen.2,5
Neu.Epend.0,Neu.Epend.0,8
MeV.Fib.4,Imm.DAM.0,4
MeV.FibCollagen.1,Imm.DAM.0,4
MeV.Pericytes.0,Imm.DAM.0,6
MeV.Fib.4,Imm.PVM.0,5
MeV.Fib.4,MeV.FibCollagen.1,14
MeV.Fib.4,MeV.FibCollagen.3,13
MeV.FibCollagen.1,Imm.DAM.1,11
MeV.FibCollagen.1,Imm.M0Like.1,6
MeV.FibCollagen.1,MeV.FibCollagen.1,24
MeV.Pericytes.0,Imm.M0Like.1,5
MeV.FibCollagen.1,MeV.FibCollagen.3,25
MeV.FibCollagen.2,MeV.FibCollagen.3,18
MeV.Fib.5,MeV.FibCollagen.3,17
MeV.Endothelial.0,MeV.FibCollagen.3,6
MeV.FibCollagen.1,MeV.Endothelial.2,22
MeV.Pericytes.0,MeV.FibCollagen.1,11
Neu.Epend.0,MeV.Pericytes.0,3
Neu.CSFcN.0,MeV.Pericytes.0,7
MeV.Endothelial.0,MeV.Endothelial.2,1
MeV.Endothelial.0,MeV.Pericytes.0,4
MeV.FibCollagen.2,MeV.Pericytes.0,9
Imm.M0Like.1,MeV.Endothelial.2,2
Neu.CSFcN.0,MeV.Endothelial.0,6
Imm.DAM.1,Imm.DAM.0,4
Imm.DAM.1,Imm.Interferon.0,7
Imm.DAM.1,Imm.M0Like.1,7
Imm.Interferon.0,Imm.DAM.0,4
Imm.Interferon.0,Imm.M0Like.1,5
Imm.M0Like.1,Imm.DAM.0,4
Imm.DAM.0,MeV.FibCollagen.3,2
Imm.PVM.0,MeV.FibCollagen.3,2
Imm.DAM.1,MeV.Fib.5,3
Imm.M0Like.1,Neu.Epend.0,14
MeV.FibCollagen.2,Imm.Interferon.0,8
MeV.FibCollagen.2,Imm.PVM.0,5
MeV.FibCollagen.2,MeV.Fib.4,5
MeV.FibCollagen.2,MeV.Fib.5,4
MeV.FibCollagen.2,MeV.FibCollagen.2,6
Neu.Epend.0,MeV.Fib.4,2
Imm.M0Like.1,Neu.CSFcN.0,18
MeV.Fib.4,Imm.Interferon.0,6
Neu.CSFcN.0,MeV.Endothelial.1,8
Imm.DAM.0,MeV.FibCollagen.1,7
Imm.PVM.0,MeV.FibCollagen.1,6
MeV.Endothelial.0,Neu.CSFcN.0,10
Imm.DAM.0,MeV.FibCollagen.2,4
MeV.Fib.4,MeV.FibCollagen.2,4
MeV.FibCollagen.1,MeV.FibCollagen.2,7
MeV.Pericytes.0,MeV.FibCollagen.2,3
MeV.Fib.5,MeV.Fib.5,1
MeV.FibCollagen.3,MeV.Fib.5,4
MeV.Pericytes.0,Imm.Interferon.0,6
MeV.Pericytes.0,MeV.Fib.4,6
Imm.DAM.0,Imm.DAM.0,3
Imm.DAM.0,Imm.Interferon.0,3
Imm.DAM.0,Imm.M0Like.1,2
Imm.DAM.0,MeV.Endothelial.2,2
Imm.DAM.0,MeV.Pericytes.0,4
Imm.DAM.1,MeV.Endothelial.2,4
Imm.PVM.0,Imm.DAM.0,2
Imm.PVM.0,Imm.Interferon.0,3
Imm.PVM.0,Imm.PVM.0,2
Imm.PVM.0,MeV.Fib.4,4
Imm.Interferon.0,MeV.Endothelial.2,4
Imm.DAM.0,MeV.Fib.4,4
MeV.FibCollagen.1,MeV.Fib.4,11
Imm.Interferon.0,MeV.Pericytes.0,9
Imm.Interferon.0,Neu.CSFcN.0,35
MeV.Pericytes.0,Neu.CSFcN.0,10
MeV.FibCollagen.1,Imm.Interferon.0,6
MeV.FibCollagen.2,MeV.Endothelial.1,2
Neu.CSFcN.0,Imm.M0Like.1,14
Imm.PVM.0,MeV.Endothelial.1,3
MeV.Endothelial.2,Neu.CSFcN.0,21
MeV.Endothelial.2,Imm.Interferon.0,3
Imm.Interferon.0,MeV.Fib.5,1
Imm.M0Like.1,MeV.Fib.5,1
MeV.Endothelial.1,MeV.FibCollagen.3,2
MeV.Endothelial.1,MeV.Pericytes.0,1
MeV.Endothelial.1,MeV.Endothelial.0,1
Imm.M0Like.1,MeV.Pericytes.0,4
MeV.Endothelial.2,MeV.Endothelial.1,5
MeV.Pericytes.0,MeV.Endothelial.1,2
MeV.Endothelial.2,MeV.Pericytes.0,8
MeV.FibCollagen.1,MeV.Fib.5,4
MeV.Endothelial.2,MeV.Endothelial.0,1
